N,time_recursive_ms,time_dp_ms,result
1,0.002600019797682762,0,Ошибка
2,0.006499991286545992,0,Ошибка
3,0.011199997970834374,0.026399997295811772,0
4,0.04539999645203352,0.05530001362785697,0
5,0.14990000636316836,0.07880001794546843,0
6,0.6649999995715916,0.11719999019987881,20
7,2.6971999905072153,0.17129999469034374,0
8,6.6516000078991055,0.24049999774433672,560
9,22.164099995279685,0.24110000231303275,0
10,80.74090001173317,0.26369999977760017,11340
11,322.7496999897994,0.29269998776726425,0
12,1293.59650000697,0.3910000086762011,203280
13,-1,0.5378999921958894,0
14,-1,0.5326999817043543,3435432
15,-1,0.6466999766416848,0
16,-1,0.8062999986577779,56216160
17,-1,0.8889000164344907,0
18,-1,1.5494000108446926,902581680
19,-1,1.2439000129234046,0
20,-1,1.4641000016126782,14322285120
21,-1,1.7430000007152557,0
22,-1,2.353799995034933,225575990640
23,-1,2.3031000164337456,0
24,-1,2.654099982464686,3535694786624
25,-1,3.2598999969195575,0
26,-1,3.380300011485815,55245231041000
27,-1,3.8142999983392656,0
28,-1,4.745199985336512,861471089388000
29,-1,4.408400011016056,0
30,-1,5.104600015329197,13416614558802000
31,-1,5.4543000005651265,0
32,-1,5.9003999922424555,208799458963704000
33,-1,6.576999992830679,0
